Class,CreatedAt,Count
AMPLIFIER,2008-03-31 00:00:00+00:00,6
AMPLIFIER,2008-04-30 00:00:00+00:00,8
AMPLIFIER,2008-05-31 00:00:00+00:00,8
AMPLIFIER,2008-06-30 00:00:00+00:00,6
AMPLIFIER,2008-07-31 00:00:00+00:00,11
AMPLIFIER,2008-08-31 00:00:00+00:00,9
AMPLIFIER,2008-09-30 00:00:00+00:00,7
AMPLIFIER,2008-10-31 00:00:00+00:00,6
AMPLIFIER,2008-11-30 00:00:00+00:00,18
AMPLIFIER,2008-12-31 00:00:00+00:00,34
AMPLIFIER,2009-01-31 00:00:00+00:00,38
AMPLIFIER,2009-02-28 00:00:00+00:00,57
AMPLIFIER,2009-03-31 00:00:00+00:00,96
AMPLIFIER,2009-04-30 00:00:00+00:00,136
AMPLIFIER,2009-05-31 00:00:00+00:00,119
AMPLIFIER,2009-06-30 00:00:00+00:00,109
AMPLIFIER,2009-07-31 00:00:00+00:00,86
AMPLIFIER,2009-08-31 00:00:00+00:00,99
AMPLIFIER,2009-09-30 00:00:00+00:00,87
AMPLIFIER,2009-10-31 00:00:00+00:00,92
AMPLIFIER,2009-11-30 00:00:00+00:00,80
AMPLIFIER,2009-12-31 00:00:00+00:00,72
AMPLIFIER,2010-01-31 00:00:00+00:00,97
AMPLIFIER,2010-02-28 00:00:00+00:00,59
AMPLIFIER,2010-03-31 00:00:00+00:00,65
AMPLIFIER,2010-04-30 00:00:00+00:00,91
AMPLIFIER,2010-05-31 00:00:00+00:00,85
AMPLIFIER,2010-06-30 00:00:00+00:00,56
AMPLIFIER,2010-07-31 00:00:00+00:00,71
AMPLIFIER,2010-08-31 00:00:00+00:00,70
AMPLIFIER,2010-09-30 00:00:00+00:00,94
AMPLIFIER,2010-10-31 00:00:00+00:00,85
AMPLIFIER,2010-11-30 00:00:00+00:00,110
AMPLIFIER,2010-12-31 00:00:00+00:00,104
AMPLIFIER,2011-01-31 00:00:00+00:00,109
AMPLIFIER,2011-02-28 00:00:00+00:00,119
AMPLIFIER,2011-03-31 00:00:00+00:00,151
AMPLIFIER,2011-04-30 00:00:00+00:00,124
AMPLIFIER,2011-05-31 00:00:00+00:00,219
AMPLIFIER,2011-06-30 00:00:00+00:00,206
AMPLIFIER,2011-07-31 00:00:00+00:00,147
AMPLIFIER,2011-08-31 00:00:00+00:00,135
AMPLIFIER,2011-09-30 00:00:00+00:00,175
AMPLIFIER,2011-10-31 00:00:00+00:00,254
AMPLIFIER,2011-11-30 00:00:00+00:00,271
AMPLIFIER,2011-12-31 00:00:00+00:00,147
AMPLIFIER,2012-01-31 00:00:00+00:00,169
AMPLIFIER,2012-02-29 00:00:00+00:00,185
AMPLIFIER,2012-03-31 00:00:00+00:00,123
AMPLIFIER,2012-04-30 00:00:00+00:00,141
AMPLIFIER,2012-05-31 00:00:00+00:00,167
AMPLIFIER,2012-06-30 00:00:00+00:00,163
AMPLIFIER,2012-07-31 00:00:00+00:00,134
AMPLIFIER,2012-08-31 00:00:00+00:00,107
